Date,Description,Debit,Credit,Balance
2026-01-27,amazon,2704,,47296
2026-02-01,salary,,39426,86722
2026-01-28,netflix,966,,85756
2026-01-30,netflix,377,,85379
2026-02-06,swiggy,1351,,84028
2026-02-07,swiggy,1318,,82710
2026-02-08,zomato,575,,82135
2026-02-03,swiggy,253,,81882
2026-02-05,swiggy,808,,81074
2026-02-03,amazon,1514,,79560
2026-02-08,zomato,706,,78854
2026-01-31,amazon,1030,,77824
2026-02-05,zomato,912,,76912
2026-02-01,netflix,387,,76525
2026-02-18,zomato,444,,76081
2026-02-16,netflix,287,,75794
2026-01-26,netflix,244,,75550
2026-02-07,swiggy,822,,74728
2026-01-24,swiggy,432,,74296
2026-02-10,swiggy,706,,73590
2026-02-07,amazon,912,,72678
2026-02-09,amazon,3877,,68801
2026-01-28,spotify,99,,68702
2026-02-14,swiggy,403,,68299
2026-02-14,netflix,993,,67306
2026-02-04,zomato,336,,66970
2026-02-02,salary,,33472,100442
2026-01-26,zomato,256,,100186
2026-02-01,spotify,255,,99931
2026-02-01,amazon,3273,,96658
2026-02-03,amazon,1126,,95532
2026-01-24,netflix,836,,94696
2026-02-20,swiggy,685,,94011
2026-02-14,spotify,103,,93908
2026-02-22,swiggy,782,,93126
2026-02-06,swiggy,636,,92490
2026-02-21,amazon,3878,,88612
2026-02-03,swiggy,234,,88378
2026-01-23,salary,,55459,143837
2026-02-06,netflix,591,,143246
2026-01-31,salary,,34718,177964
2026-02-22,amazon,3705,,174259
2026-02-15,amazon,3477,,170782
2026-02-12,salary,,44238,215020
2026-02-17,salary,,37053,252073
2026-02-21,netflix,282,,251791
2026-02-14,spotify,225,,251566
2026-01-23,salary,,42514,294080
2026-02-09,salary,,50371,344451
2026-02-12,netflix,587,,343864
