Date,Description,Category,Amount
21-02-2026,Flipkart,Shopping,8705
21-02-2026,Salary,Other,23860
21-02-2026,YouTube Premium,Entertainment,225
21-02-2026,YouTube Premium,Entertainment,992
21-02-2026,Myntra,Shopping,9380
21-02-2026,Spotify,Entertainment,275
21-02-2026,Myntra,Shopping,4765
21-02-2026,Freelance,Other,7378
21-02-2026,Amazon,Shopping,3277
21-02-2026,Flipkart,Shopping,7052
21-02-2026,Freelance,Other,20804
21-02-2026,Spotify,Entertainment,1874
21-02-2026,Salary,Other,2985
21-02-2026,Bonus,Other,20004
21-02-2026,Netflix,Entertainment,672
21-02-2026,Myntra,Shopping,1502
21-02-2026,Freelance,Other,41922
21-02-2026,Amazon,Shopping,3627
21-02-2026,Myntra,Shopping,6982
21-02-2026,Spotify,Entertainment,1410
